ID,ovder,ovizq,utero
080001,0,0,1
080003,0,0,1
080005,0,0,0
080009,1,0,1
080010,0,0,0
080013,0,0,1
080020,1,0,1
080021,1,1,1
080025,0,0,0
080025SD,0,0,0
080031,0,0,0
080034,0,0,0
080040,0,0,1
080042,0,0,1
080048,0,0,0
080054,0,1,1
080057,0,1,1
080069,1,0,1
080071,0,0,0
080080CA,1,0,1
080085,0,0,0
080094,0,0,0
080097,0,0,0
080099SD,0,0,1
080113,0,0,0
080116,0,0,0
080125,1,1,1
080131,1,0,1
080134,0,0,1
080140,0,0,0
080151,1,0,1
080153,1,1,1
080175,1,0,1
080177,0,0,0
080180,1,1,1
080192,1,0,1
080197,0,0,0
080198,1,1,1
080211,1,0,0
080217,0,0,0
080219,0,0,1
080220,0,0,0
080222,0,0,0
080224,0,0,0
080244,1,0,1
080248,0,0,0
080250SD,0,0,0
080252SD,1,0,1
08080CA,0,1,0
08082CA,0,0,0
088000SD,0,0,0
088019SD,0,0,0
088025SD,0,0,0
088067SD,0,0,0
088075SD,0,0,0
088085SD,0,0,0
088090SD,0,0,1
088099SD,0,0,0
088108SD,0,0,0
088218SD,1,0,1
088250SD,0,0,0
088252SD,0,0,0
088276CP,0,0,1
090002HO,1,1,1
090003HO,0,0,0
090004HO,0,0,1
090006CP,0,0,1
090006HO,1,0,1
090007HO,1,0,1
090008HO,1,0,0
090009HO,0,0,1
090010HO,0,1,1
090011HO,0,0,0
090012HO,0,0,1
090053HO,0,0,0
090054HO,0,0,0
090055HO,1,0,1
090056HO,0,0,1
090057HO,1,1,0
090058HO,1,1,0
090059HO,0,0,0
090013HO,1,0,0
090014HO,1,0,0
090015HO,1,0,1
090016CP,1,0,1
090016HO,1,0,0
090017HO,0,0,1
090018HO,0,0,1
090021HO,1,0,1
090024HO,1,1,0
090026HO,0,0,0
090027HO,0,0,0
090028HO,1,0,1
090030HO,1,1,1
090031HO,1,0,1
090032HO,1,1,1
090033HO,1,0,1
090034HO,1,0,1
090035HO,0,0,0
090036HO,1,1,1
090039HO,0,0,0
090040HO,0,0,0
090041HO,1,0,1
090042HO,1,0,1
090043HO,1,1,1
090044HO,1,0,1
090047HO,0,0,0
090048HO,0,0,1
090049HO,0,0,1
090050HO,1,0,1
090051HO,0,0,0
090052HO,0,0,1
090060HO,1,1,1
090061HO,0,0,0
090063HO,0,0,1
090065HO,0,0,1
090124HO,0,0,1
090127HO,1,1,1
090128HO,1,0,1
090131HO,0,0,1
090132HO,1,1,1
090069HO,1,1,1
090070HO,1,1,0
090072HO,0,0,0
090078HO,0,0,0
090079HO,0,0,0
090080HO,1,1,1
090082HO,0,0,1
090086HO,0,0,0
090088AG,0,0,0
090088HO,1,0,1
090089HO,0,0,0
090090HO,1,1,1
090091CA,0,0,1
090091HO,0,0,0
